Comment,Designator,Footprint,LCSC
"1uF/10V","C1","Capacitor_SMD:C_0805_2012Metric","C28323"
"0.1uF/10V","C2,C9","Capacitor_SMD:C_0805_2012Metric","C49678"
"4.7uF/6V","C5,C6","Capacitor_SMD:C_0805_2012Metric","C1779"
"RX","D1","LED_SMD:LED_0805_2012Metric","C2293"
"TX","D2","LED_SMD:LED_0805_2012Metric","C2293"
"VBUS","D3","LED_SMD:LED_0805_2012Metric","C2297"
"PWR","D4","LED_SMD:LED_0805_2012Metric","C84256"
"ESD5Z3.3T1G","D5","Diode_SMD:D_SOD-523","C61148"
"0ZCK0050FF2E (TLC-PSMD050)","F2","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C261942"
"SERIAL","J1","!Greg:2.54mmedge","DNP"
"10137062-00021LF","J2","!Greg:USBC-Amphenol-10137062-00021LF","C388659"
"SERIAL2","J3","!Greg:1.27mmedge","DNP"
"MMDT3904","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C83572"
"10k","R1,R2,R4,R5,R17,R18","Resistor_SMD:R_0805_2012Metric","C17414"
"22k1","R15","Resistor_SMD:R_0805_2012Metric","C17560"
"47k5","R16","Resistor_SMD:R_0805_2012Metric","C17713"
"1k","R3","Resistor_SMD:R_0805_2012Metric","C17513"
"5k1","R6,R7","Resistor_SMD:R_0805_2012Metric","C27834"
"JS202011CQN","SW1","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight","DNP"
"ESD PROTECTION","U1","Package_TO_SOT_SMD:SOT-23-6","C294963"
"CP2102N-A02-GQFN24","U2","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","C969151"
"TLV75533PDBV","U3","Package_TO_SOT_SMD:SOT-23-5","C255621 C404027"